Area Code,Area,Months Code,Months,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
26,Brunei Darussalam,7020,Meteorological year,7271,Temperature change,°C,0.141,-0.068,-0.227,-0.051,-0.366,0.13,-0.189,-0.204,0.195,-0.012,-0.236,0.026,0.436,-0.259,0.004,-0.059,0.021,0.129,0.211,0.268,0.097,0.168,0.552,-0.075,0.115,0.083,0.512,0.544,0.135,0.524,0.398,0.333,0.195,0.379,0.398,0.308,0.623,1.307,0.531,0.448,0.541,0.678,0.8,0.583,0.867,0.541,0.546,0.381,0.826,0.877,0.502,0.678,0.846,0.785,1.004,1.477,1.07,0.969,1.257
27,Bulgaria,7020,Meteorological year,7271,Temperature change,°C,0.888,0.474,-0.257,-0.539,-0.461,1.143,0.02,0.415,-0.486,0.201,-0.148,0.128,-0.432,-0.199,0.387,-0.845,0.563,-0.717,0.161,-0.443,-0.036,-0.12,0.396,-0.006,-0.585,0.376,-0.475,0.13,0.407,0.793,-0.154,0.146,-0.312,1.593,0.227,-0.353,-0.335,0.779,0.692,1.179,1.63,0.833,0.156,0.489,0.167,0.52,1.834,1.141,1.247,1.304,0.368,1.634,1.438,1.189,1.438,1.875,0.91,2.183,2.122
233,Burkina Faso,7020,Meteorological year,7271,Temperature change,°C,-0.302,-0.251,0.126,-0.231,-0.135,-0.149,-0.176,-0.191,0.571,0.352,-0.04,0.13,0.655,-0.096,-0.327,-0.333,0.259,0.198,0.428,0.796,0.302,0.151,0.71,0.779,0.465,0.331,1.007,0.584,0.004,0.601,0.532,-0.024,0.697,0.285,0.373,0.884,0.594,0.973,0.548,0.533,0.5,0.992,0.961,0.84,1.415,1.137,0.836,0.288,0.932,1.249,0.981,0.461,0.824,0.877,1.118,1.085,1.214,1.149,1.075
29,Burundi,7020,Meteorological year,7271,Temperature change,°C,0.068,-0.452,-0.03,-0.142,-0.22,0.053,-0.206,-0.222,0.206,0.331,-0.182,0.272,0.47,-0.077,,,,0.334,,,,0.369,0.189,,,0.103,0.163,0.107,-0.185,0.316,-0.133,-0.082,,,,,,0.491,,0.375,-0.119,0.467,0.504,0.632,,,0.669,0.304,,,0.628,,,,,,,,
35,Cabo Verde,7020,Meteorological year,7271,Temperature change,°C,-0.096,0.263,0.502,-0.094,-0.416,0.177,-0.155,-0.453,0.625,0.608,-0.133,0.08,0.344,-0.296,,-0.049,0.262,0.714,0.93,0.957,0.759,0.999,0.999,,0.592,0.461,1.521,,,1.171,0.478,0.687,0.307,0.24,1.273,1.397,1.453,1.579,0.594,0.838,1.128,1.279,1.409,1.442,1,1.184,0.65,1.131,0.965,2.45,1.376,0.746,1.166,0.92,0.906,1.54,1.842,0.844,1.362
115,Cambodia,7020,Meteorological year,7271,Temperature change,°C,-0.037,-0.127,-0.32,0.147,-0.201,0.438,-0.065,-0.101,0.564,0.062,-0.456,0.04,0.356,-0.339,-0.02,-0.45,0.035,0.213,0.415,0.338,0.282,0.087,0.46,0.13,0.286,0.057,0.617,0.332,0.236,0.579,0.509,0.445,0.282,0.331,0.568,0.242,0.326,1.278,0.36,0.18,0.595,0.629,0.649,0.491,0.664,0.637,0.517,0.378,0.338,1.107,0.315,0.788,0.947,0.54,1.061,1.373,1.05,0.725,1.421
32,Cameroon,7020,Meteorological year,7271,Temperature change,°C,-0.097,-0.193,0.152,-0.168,-0.087,0.002,-0.099,-0.128,0.191,0.167,-0.121,0.056,0.569,-0.06,-0.183,-0.158,0.307,0.055,0.388,0.35,0.069,0.022,0.114,0.173,0.047,0.151,0.511,0.291,-0.278,0.637,0.612,-0.238,0.274,0.36,0.421,0.437,0.599,1.214,0.738,0.456,0.288,0.784,0.934,0.889,1.05,1.071,0.776,0.728,1.15,1.26,0.693,0.539,0.789,0.895,1.183,1.236,1.21,1.091,1.616
33,Canada,7020,Meteorological year,7271,Temperature change,°C,0.045,-0.124,0.33,-0.304,-0.872,-0.156,-0.451,0.482,-0.001,0.427,-0.024,-1.793,0.308,-0.844,0.229,0.087,1.082,-0.603,-0.215,0.921,1.565,-0.669,0.494,0.346,-0.301,0.024,1.347,1.211,0.029,0.086,0.34,0.111,0.351,0.472,0.94,-0.122,0.422,2.476,1.708,1.299,1.432,0.556,1.256,0.51,1.298,2.353,1.332,0.853,0.544,2.917,1.444,2.14,1.186,0.273,1.198,2.345,1.451,0.502,1.315
36,Cayman Islands,7020,Meteorological year,7271,Temperature change,°C,,-0.06,-0.209,,,-0.151,-0.209,-0.336,0.188,-0.123,-0.107,0.307,0.381,-0.184,0.199,-0.188,0.456,0.253,0.258,0.528,-0.083,0.466,0.296,0.165,0.059,0.128,0.468,0.683,0.629,0.961,0.942,0.621,0.912,1.242,1.116,0.544,1.106,1.033,0.556,,,,,,0.752,0.689,0.84,0.647,0.551,0.753,0.439,0.507,0.663,0.87,1.111,1.048,1.021,0.663,1.001
37,Central African Republic,7020,Meteorological year,7271,Temperature change,°C,0.008,-0.301,0.021,-0.156,-0.055,0.073,-0.248,-0.193,0.107,0.237,-0.079,0.034,0.516,-0.085,-0.06,-0.117,0.257,0.091,0.425,0.459,-0.009,0.245,0.51,0.13,0.186,0.504,0.501,0.275,-0.18,0.302,0.507,-0.453,0.338,0.586,0.19,0.134,0.134,1.121,0.485,0.716,0.412,0.779,0.879,0.988,1.054,1.071,0.628,0.73,1.244,1.252,0.806,0.561,0.835,0.702,0.986,1.221,1.235,1.188,1.462
